doc_id,event_category,event_name,description,date,year,month,visibility_regions
152,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2023, visible globally under clear skies.",2023-08-12,2023,August,Global
153,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2023, visible globally under clear skies.",2023-10-08,2023,October,Global
154,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2023, visible globally under clear skies.",2023-10-21,2023,October,Global
155,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2023, visible globally under clear skies.",2023-11-17,2023,November,Global
156,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2023, visible globally under clear skies.",2023-12-14,2023,December,Global
157,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2023, visible globally under clear skies.",2023-12-22,2023,December,Global
158,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2024, visible globally under clear skies.",2024-01-03,2024,January,Global
159,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2024, visible globally under clear skies.",2024-04-22,2024,April,Global
160,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2024, visible globally under clear skies.",2024-05-06,2024,May,Global
161,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2024, visible globally under clear skies.",2024-08-12,2024,August,Global
162,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2024, visible globally under clear skies.",2024-10-08,2024,October,Global
163,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2024, visible globally under clear skies.",2024-10-21,2024,October,Global
164,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2024, visible globally under clear skies.",2024-11-17,2024,November,Global
165,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2024, visible globally under clear skies.",2024-12-14,2024,December,Global
166,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2024, visible globally under clear skies.",2024-12-22,2024,December,Global
167,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2025, visible globally under clear skies.",2025-01-03,2025,January,Global
168,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2025, visible globally under clear skies.",2025-04-22,2025,April,Global
169,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2025, visible globally under clear skies.",2025-05-06,2025,May,Global
170,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2025, visible globally under clear skies.",2025-08-12,2025,August,Global
171,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2025, visible globally under clear skies.",2025-10-08,2025,October,Global
172,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2025, visible globally under clear skies.",2025-10-21,2025,October,Global
173,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2025, visible globally under clear skies.",2025-11-17,2025,November,Global
174,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2025, visible globally under clear skies.",2025-12-14,2025,December,Global
175,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2025, visible globally under clear skies.",2025-12-22,2025,December,Global
176,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2026, visible globally under clear skies.",2026-01-03,2026,January,Global
177,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2026, visible globally under clear skies.",2026-04-22,2026,April,Global
178,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2026, visible globally under clear skies.",2026-05-06,2026,May,Global
179,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2026, visible globally under clear skies.",2026-08-12,2026,August,Global
180,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2026, visible globally under clear skies.",2026-10-08,2026,October,Global
181,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2026, visible globally under clear skies.",2026-10-21,2026,October,Global
182,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2026, visible globally under clear skies.",2026-11-17,2026,November,Global
183,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2026, visible globally under clear skies.",2026-12-14,2026,December,Global
184,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2026, visible globally under clear skies.",2026-12-22,2026,December,Global
185,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2027, visible globally under clear skies.",2027-01-03,2027,January,Global
186,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2027, visible globally under clear skies.",2027-04-22,2027,April,Global
187,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2027, visible globally under clear skies.",2027-05-06,2027,May,Global
188,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2027, visible globally under clear skies.",2027-08-12,2027,August,Global
189,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2027, visible globally under clear skies.",2027-10-08,2027,October,Global
190,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2027, visible globally under clear skies.",2027-10-21,2027,October,Global
191,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2027, visible globally under clear skies.",2027-11-17,2027,November,Global
192,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2027, visible globally under clear skies.",2027-12-14,2027,December,Global
193,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2027, visible globally under clear skies.",2027-12-22,2027,December,Global
194,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2028, visible globally under clear skies.",2028-01-03,2028,January,Global
195,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2028, visible globally under clear skies.",2028-04-22,2028,April,Global
196,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2028, visible globally under clear skies.",2028-05-06,2028,May,Global
197,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2028, visible globally under clear skies.",2028-08-12,2028,August,Global
198,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2028, visible globally under clear skies.",2028-10-08,2028,October,Global
199,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2028, visible globally under clear skies.",2028-10-21,2028,October,Global
200,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2028, visible globally under clear skies.",2028-11-17,2028,November,Global
201,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2028, visible globally under clear skies.",2028-12-14,2028,December,Global
202,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2028, visible globally under clear skies.",2028-12-22,2028,December,Global
203,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2029, visible globally under clear skies.",2029-01-03,2029,January,Global
204,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2029, visible globally under clear skies.",2029-04-22,2029,April,Global
205,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2029, visible globally under clear skies.",2029-05-06,2029,May,Global
206,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2029, visible globally under clear skies.",2029-08-12,2029,August,Global
207,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2029, visible globally under clear skies.",2029-10-08,2029,October,Global
208,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2029, visible globally under clear skies.",2029-10-21,2029,October,Global
209,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2029, visible globally under clear skies.",2029-11-17,2029,November,Global
210,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2029, visible globally under clear skies.",2029-12-14,2029,December,Global
211,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2029, visible globally under clear skies.",2029-12-22,2029,December,Global
212,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2030, visible globally under clear skies.",2030-01-03,2030,January,Global
213,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2030, visible globally under clear skies.",2030-04-22,2030,April,Global
214,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2030, visible globally under clear skies.",2030-05-06,2030,May,Global
215,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2030, visible globally under clear skies.",2030-08-12,2030,August,Global
216,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2030, visible globally under clear skies.",2030-10-08,2030,October,Global
217,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2030, visible globally under clear skies.",2030-10-21,2030,October,Global
218,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2030, visible globally under clear skies.",2030-11-17,2030,November,Global
219,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2030, visible globally under clear skies.",2030-12-14,2030,December,Global
220,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2030, visible globally under clear skies.",2030-12-22,2030,December,Global
221,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2031, visible globally under clear skies.",2031-01-03,2031,January,Global
222,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2031, visible globally under clear skies.",2031-04-22,2031,April,Global
223,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2031, visible globally under clear skies.",2031-05-06,2031,May,Global
224,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2031, visible globally under clear skies.",2031-08-12,2031,August,Global
225,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2031, visible globally under clear skies.",2031-10-08,2031,October,Global
226,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2031, visible globally under clear skies.",2031-10-21,2031,October,Global
227,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2031, visible globally under clear skies.",2031-11-17,2031,November,Global
228,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2031, visible globally under clear skies.",2031-12-14,2031,December,Global
229,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2031, visible globally under clear skies.",2031-12-22,2031,December,Global
230,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2032, visible globally under clear skies.",2032-01-03,2032,January,Global
231,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2032, visible globally under clear skies.",2032-04-22,2032,April,Global
232,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2032, visible globally under clear skies.",2032-05-06,2032,May,Global
233,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2032, visible globally under clear skies.",2032-08-12,2032,August,Global
234,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2032, visible globally under clear skies.",2032-10-08,2032,October,Global
235,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2032, visible globally under clear skies.",2032-10-21,2032,October,Global
236,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2032, visible globally under clear skies.",2032-11-17,2032,November,Global
237,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2032, visible globally under clear skies.",2032-12-14,2032,December,Global
238,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2032, visible globally under clear skies.",2032-12-22,2032,December,Global
239,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2033, visible globally under clear skies.",2033-01-03,2033,January,Global
240,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2033, visible globally under clear skies.",2033-04-22,2033,April,Global
241,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2033, visible globally under clear skies.",2033-05-06,2033,May,Global
242,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2033, visible globally under clear skies.",2033-08-12,2033,August,Global
243,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2033, visible globally under clear skies.",2033-10-08,2033,October,Global
244,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2033, visible globally under clear skies.",2033-10-21,2033,October,Global
245,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2033, visible globally under clear skies.",2033-11-17,2033,November,Global
246,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2033, visible globally under clear skies.",2033-12-14,2033,December,Global
247,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2033, visible globally under clear skies.",2033-12-22,2033,December,Global
248,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2034, visible globally under clear skies.",2034-01-03,2034,January,Global
249,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2034, visible globally under clear skies.",2034-04-22,2034,April,Global
250,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2034, visible globally under clear skies.",2034-05-06,2034,May,Global
251,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2034, visible globally under clear skies.",2034-08-12,2034,August,Global
252,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2034, visible globally under clear skies.",2034-10-08,2034,October,Global
253,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2034, visible globally under clear skies.",2034-10-21,2034,October,Global
254,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2034, visible globally under clear skies.",2034-11-17,2034,November,Global
255,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2034, visible globally under clear skies.",2034-12-14,2034,December,Global
256,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2034, visible globally under clear skies.",2034-12-22,2034,December,Global
257,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2035, visible globally under clear skies.",2035-01-03,2035,January,Global
258,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2035, visible globally under clear skies.",2035-04-22,2035,April,Global
259,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2035, visible globally under clear skies.",2035-05-06,2035,May,Global
260,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2035, visible globally under clear skies.",2035-08-12,2035,August,Global
261,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2035, visible globally under clear skies.",2035-10-08,2035,October,Global
262,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2035, visible globally under clear skies.",2035-10-21,2035,October,Global
263,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2035, visible globally under clear skies.",2035-11-17,2035,November,Global
264,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2035, visible globally under clear skies.",2035-12-14,2035,December,Global
265,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2035, visible globally under clear skies.",2035-12-22,2035,December,Global
266,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2036, visible globally under clear skies.",2036-01-03,2036,January,Global
267,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2036, visible globally under clear skies.",2036-04-22,2036,April,Global
268,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2036, visible globally under clear skies.",2036-05-06,2036,May,Global
269,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2036, visible globally under clear skies.",2036-08-12,2036,August,Global
270,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2036, visible globally under clear skies.",2036-10-08,2036,October,Global
271,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2036, visible globally under clear skies.",2036-10-21,2036,October,Global
272,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2036, visible globally under clear skies.",2036-11-17,2036,November,Global
273,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2036, visible globally under clear skies.",2036-12-14,2036,December,Global
274,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2036, visible globally under clear skies.",2036-12-22,2036,December,Global
275,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2037, visible globally under clear skies.",2037-01-03,2037,January,Global
276,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2037, visible globally under clear skies.",2037-04-22,2037,April,Global
277,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2037, visible globally under clear skies.",2037-05-06,2037,May,Global
278,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2037, visible globally under clear skies.",2037-08-12,2037,August,Global
279,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2037, visible globally under clear skies.",2037-10-08,2037,October,Global
280,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2037, visible globally under clear skies.",2037-10-21,2037,October,Global
281,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2037, visible globally under clear skies.",2037-11-17,2037,November,Global
282,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2037, visible globally under clear skies.",2037-12-14,2037,December,Global
283,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2037, visible globally under clear skies.",2037-12-22,2037,December,Global
284,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2038, visible globally under clear skies.",2038-01-03,2038,January,Global
285,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2038, visible globally under clear skies.",2038-04-22,2038,April,Global
286,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2038, visible globally under clear skies.",2038-05-06,2038,May,Global
287,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2038, visible globally under clear skies.",2038-08-12,2038,August,Global
288,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2038, visible globally under clear skies.",2038-10-08,2038,October,Global
289,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2038, visible globally under clear skies.",2038-10-21,2038,October,Global
290,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2038, visible globally under clear skies.",2038-11-17,2038,November,Global
291,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2038, visible globally under clear skies.",2038-12-14,2038,December,Global
292,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2038, visible globally under clear skies.",2038-12-22,2038,December,Global
293,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2039, visible globally under clear skies.",2039-01-03,2039,January,Global
294,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2039, visible globally under clear skies.",2039-04-22,2039,April,Global
295,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2039, visible globally under clear skies.",2039-05-06,2039,May,Global
296,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2039, visible globally under clear skies.",2039-08-12,2039,August,Global
297,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2039, visible globally under clear skies.",2039-10-08,2039,October,Global
298,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2039, visible globally under clear skies.",2039-10-21,2039,October,Global
299,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2039, visible globally under clear skies.",2039-11-17,2039,November,Global
300,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2039, visible globally under clear skies.",2039-12-14,2039,December,Global
301,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2039, visible globally under clear skies.",2039-12-22,2039,December,Global
302,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2040, visible globally under clear skies.",2040-01-03,2040,January,Global
303,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2040, visible globally under clear skies.",2040-04-22,2040,April,Global
304,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2040, visible globally under clear skies.",2040-05-06,2040,May,Global
305,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2040, visible globally under clear skies.",2040-08-12,2040,August,Global
306,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2040, visible globally under clear skies.",2040-10-08,2040,October,Global
307,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2040, visible globally under clear skies.",2040-10-21,2040,October,Global
308,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2040, visible globally under clear skies.",2040-11-17,2040,November,Global
309,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2040, visible globally under clear skies.",2040-12-14,2040,December,Global
310,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2040, visible globally under clear skies.",2040-12-22,2040,December,Global
311,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2041, visible globally under clear skies.",2041-01-03,2041,January,Global
312,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2041, visible globally under clear skies.",2041-04-22,2041,April,Global
313,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2041, visible globally under clear skies.",2041-05-06,2041,May,Global
314,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2041, visible globally under clear skies.",2041-08-12,2041,August,Global
315,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2041, visible globally under clear skies.",2041-10-08,2041,October,Global
316,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2041, visible globally under clear skies.",2041-10-21,2041,October,Global
317,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2041, visible globally under clear skies.",2041-11-17,2041,November,Global
318,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2041, visible globally under clear skies.",2041-12-14,2041,December,Global
319,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2041, visible globally under clear skies.",2041-12-22,2041,December,Global
320,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2042, visible globally under clear skies.",2042-01-03,2042,January,Global
321,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2042, visible globally under clear skies.",2042-04-22,2042,April,Global
322,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2042, visible globally under clear skies.",2042-05-06,2042,May,Global
323,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2042, visible globally under clear skies.",2042-08-12,2042,August,Global
324,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2042, visible globally under clear skies.",2042-10-08,2042,October,Global
325,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2042, visible globally under clear skies.",2042-10-21,2042,October,Global
326,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2042, visible globally under clear skies.",2042-11-17,2042,November,Global
327,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2042, visible globally under clear skies.",2042-12-14,2042,December,Global
328,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2042, visible globally under clear skies.",2042-12-22,2042,December,Global
329,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2043, visible globally under clear skies.",2043-01-03,2043,January,Global
330,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2043, visible globally under clear skies.",2043-04-22,2043,April,Global
331,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2043, visible globally under clear skies.",2043-05-06,2043,May,Global
332,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2043, visible globally under clear skies.",2043-08-12,2043,August,Global
333,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2043, visible globally under clear skies.",2043-10-08,2043,October,Global
334,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2043, visible globally under clear skies.",2043-10-21,2043,October,Global
335,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2043, visible globally under clear skies.",2043-11-17,2043,November,Global
336,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2043, visible globally under clear skies.",2043-12-14,2043,December,Global
337,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2043, visible globally under clear skies.",2043-12-22,2043,December,Global
338,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2044, visible globally under clear skies.",2044-01-03,2044,January,Global
339,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2044, visible globally under clear skies.",2044-04-22,2044,April,Global
340,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2044, visible globally under clear skies.",2044-05-06,2044,May,Global
341,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2044, visible globally under clear skies.",2044-08-12,2044,August,Global
342,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2044, visible globally under clear skies.",2044-10-08,2044,October,Global
343,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2044, visible globally under clear skies.",2044-10-21,2044,October,Global
344,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2044, visible globally under clear skies.",2044-11-17,2044,November,Global
345,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2044, visible globally under clear skies.",2044-12-14,2044,December,Global
346,Meteor Shower,Ursids Meteor Shower,"Ursids meteor shower peaking in December 2044, visible globally under clear skies.",2044-12-22,2044,December,Global
347,Meteor Shower,Quadrantids Meteor Shower,"Quadrantids meteor shower peaking in January 2045, visible globally under clear skies.",2045-01-03,2045,January,Global
348,Meteor Shower,Lyrids Meteor Shower,"Lyrids meteor shower peaking in April 2045, visible globally under clear skies.",2045-04-22,2045,April,Global
349,Meteor Shower,Eta Aquariids Meteor Shower,"Eta Aquariids meteor shower peaking in May 2045, visible globally under clear skies.",2045-05-06,2045,May,Global
350,Meteor Shower,Perseids Meteor Shower,"Perseids meteor shower peaking in August 2045, visible globally under clear skies.",2045-08-12,2045,August,Global
351,Meteor Shower,Draconids Meteor Shower,"Draconids meteor shower peaking in October 2045, visible globally under clear skies.",2045-10-08,2045,October,Global
352,Meteor Shower,Orionids Meteor Shower,"Orionids meteor shower peaking in October 2045, visible globally under clear skies.",2045-10-21,2045,October,Global
353,Meteor Shower,Leonids Meteor Shower,"Leonids meteor shower peaking in November 2045, visible globally under clear skies.",2045-11-17,2045,November,Global
354,Meteor Shower,Geminids Meteor Shower,"Geminids meteor shower peaking in December 2045, visible globally under clear skies.",2045-12-14,2045,December,Global
